Time [s],Value,Parity Error,Framing Error
1.21664775,0x1E,,
1.21665775,0x0E,,
1.21666775,0x02,,
1.21667775,0xC5,,
1.2186663125,0xFF,,
1.2186763125,0xFF,,
1.2186863125,0x17,,
1.2186963125,0x05,,
1.2187063125,0x03,,
1.2187163125,0x1E,,
1.2187263125,0x66,,
1.218736375,0x02,,
1.218746375,0x5A,,
1.2193241875,0xFF,,
1.2193341875,0xFF,,
1.2193441875,0x12,,
1.2193541875,0x05,,
1.2193641875,0x03,,
1.2193741875,0x1E,,
1.21938425,0xD5,,
1.21939425,0x02,,
1.21940425,0xF0,,
1.2199693125,0xFF,,
1.2199793125,0xFF,,
1.2199893125,0x10,,
1.2199993125,0x05,,
1.2200093125,0x03,,
1.220019375,0x1E,,
1.220029375,0x00,,
1.220039375,0x02,,
1.220049375,0xC7,,
1.2205761875,0xFF,,
1.2205861875,0xFF,,
1.2205961875,0x23,,
1.2206061875,0x04,,
1.2206161875,0x03,,
1.2206261875,0x20,,
1.2206361875,0x00,,
1.2206461875,0xB5,,
1.2592895,0xFF,,
1.2592995,0xFF,,
1.2593095,0x01,,
1.2593195,0x05,,
1.2593295,0x03,,
1.2593395,0x1E,,
1.2593495625,0xF4,,
1.2593595625,0x01,,
1.2593695625,0xE3,,
1.2642163125,0xFF,,
1.2642263125,0xFF,,
1.2642363125,0x02,,
1.2642463125,0x05,,
1.2642563125,0x03,,
1.2642663125,0x1E,,
1.2642763125,0xE8,,
1.264286375,0x01,,
1.264296375,0xEE,,
1.2691764375,0xFF,,
1.2691864375,0xFF,,
1.2691964375,0x03,,
1.2692064375,0x05,,
1.2692165,0x03,,
1.2692265,0x1E,,
1.2692365,0x1C,,
1.2692465,0x02,,
1.2692565,0xB8,,
1.2741685,0xFF,,
1.2741785,0xFF,,
1.2741885,0x04,,
1.2741985,0x05,,
1.2742085,0x03,,
1.2742185,0x1E,,
1.2742285,0x10,,
1.2742385,0x02,,
1.2742485625,0xC3,,
1.2761399375,0xFF,,
1.2761499375,0xFF,,
1.2761599375,0x17,,
1.2761699375,0x05,,
1.27618,0x03,,
1.27619,0x1E,,
1.2762,0x67,,
1.27621,0x02,,
1.27622,0x59,,
1.2767850625,0xFF,,
1.2767950625,0xFF,,
1.2768050625,0x12,,
1.2768150625,0x05,,
1.276825125,0x03,,
1.276835125,0x1E,,
1.276845125,0xD4,,
1.276855125,0x02,,
1.276865125,0xF1,,
1.2774238125,0xFF,,
1.2774338125,0xFF,,
1.2774438125,0x10,,
1.2774538125,0x05,,
1.277463875,0x03,,
1.277473875,0x1E,,
1.277483875,0x00,,
1.277493875,0x02,,
1.277503875,0xC7,,
1.2780370625,0xFF,,
1.2780470625,0xFF,,
1.2780570625,0x23,,
1.2780670625,0x04,,
1.2780770625,0x03,,
1.2780870625,0x20,,
1.2780970625,0xFF,,
1.278107125,0xB6,,
1.317565375,0xFF,,
1.317575375,0xFF,,
1.317585375,0x01,,
1.317595375,0x05,,
1.317605375,0x03,,
1.317615375,0x1E,,
1.317625375,0xF4,,
1.317635375,0x01,,
1.317645375,0xE3,,
1.3226864375,0xFF,,
1.3226964375,0xFF,,
1.3227064375,0x02,,
1.3227164375,0x05,,
1.3227264375,0x03,,
1.3227364375,0x1E,,
1.3227464375,0xE9,,
1.3227564375,0x01,,
1.3227664375,0xED,,
1.3276911875,0xFF,,
1.3277011875,0xFF,,
1.3277111875,0x03,,
1.32772125,0x05,,
1.32773125,0x03,,
1.32774125,0x1E,,
1.32775125,0x1D,,
1.32776125,0x02,,
1.32777125,0xB7,,
1.332547875,0xFF,,
1.332557875,0xFF,,
1.332567875,0x04,,
1.332577875,0x05,,
1.332587875,0x03,,
1.332597875,0x1E,,
1.332607875,0x11,,
1.332617875,0x02,,
1.332627875,0xC2,,
1.3345511875,0xFF,,
1.3345611875,0xFF,,
